hour,average_value,average_price
0,0.7345101639344261,0.023107978142076505
1,0.6809027322404372,0.022295245901639345
2,0.6520043989071038,0.02282207650273224
3,0.6359747540983607,0.02827448087431694
4,0.6311820491803278,0.04286789617486339
5,0.6422871584699453,0.06099734972677596
6,0.6782268032786886,0.06977754098360656
7,0.7066672677595628,0.06377945355191257
8,0.7310762021857924,0.05684275956284153
9,0.7442133606557377,0.05130948087431694
10,0.7526845081967213,0.04818319672131147
11,0.7602418032786885,0.04537081967213115
12,0.7529652185792349,0.04357830601092896
13,0.7439892076502732,0.04536959016393443
14,0.7485369398907104,0.05374377049180328
15,0.7742496721311476,0.05942773224043716
16,0.8187727049180328,0.06751866120218579
17,0.8558767486338799,0.06802781420765028
18,0.8982414480874317,0.05428830601092897
19,0.9331073224043716,0.04482661202185792
20,0.9226514480874317,0.03875169398907104
21,0.8624636612021858,0.030590054644808743
22,0.8936629781420765,0.026896502732240438
23,0.8160239178082191,0.024947677595628416
